Distance, Elevation , Count , D50 , D84 , Mean,stdev,Cv
0,813,201,25,40,27,19,0.71
416.836,783,100,26,46,29,22,0.76
898.092,747,100,22,39,24,14,0.57
1405.932,719,100,21,40,24,18,0.74
1953.337,684,100,21,41,26,20,0.77
2237.299,661,200,19,40,24,20,0.84
2666.759,627,200,21,41,26,23,0.89
2942.355,603,100,21,37,24,21,0.88
3329.189,572,100,18,36,23,21,0.92
3614.364,545,100,17,32,20,15,0.73
3890.969,516,100,20,39,24,19,0.77
4092.115,504,100,17,30,20,15,0.78
4202.484,491,100,18,36,24,22,0.93
4514.137,476,200,19,32,21,18,0.86
4729.437,456,100,19,35,22,15,0.72
5082.796,440,100,15,31,19,16,0.85
5394.542,418,100,14,30,19,14,0.75
5766.169,398,100,15,32,18,14,0.78
6102.452,380,100,14,28,17,14,0.78
6464.217,360,100,13,30,17,14,0.82
6685.54,346,200,14,35,19,18,0.9
