Distance,Width
0,100
100,162.2403052
200,223.9640963
300,285.1756598
400,345.8792464
500,406.0790717
600,465.7793162
700,524.9841259
800,583.6976123
900,641.9238525
1000,699.6668903
1100,756.9307355
1200,813.7193647
1300,870.0367218
1400,925.8867176
1500,981.2732306
1600,1036.200107
1700,1090.671162
1800,1144.690177
1900,1198.260904
2000,1251.387063
2100,1304.072344
2200,1356.320405
2300,1408.134875
2400,1459.519352
2500,1510.477404
2600,1561.01257
2700,1611.128359
2800,1660.828252
2900,1710.115701
3000,1758.994127
3100,1807.466925
3200,1855.537462
3300,1903.209076
3400,1950.485077
3500,1997.368748
3600,2043.863345
3700,2089.972097
3800,2135.698206
3900,2181.044848
4000,2226.015171
4100,2270.612298
4200,2314.839327
4300,2358.699329
4400,2402.195349
4500,2445.330409
4600,2488.107504
4700,2530.529603
4800,2572.599655
4900,2614.320579
5000,2655.695273
5100,2696.726612
5200,2737.417442
5300,2777.770592
5400,2817.788863
5500,2857.475034
5600,2896.83186
5700,2935.862077
5800,2974.568392
5900,3012.953496
6000,3051.020052
