,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, COMPILED DATA FOR THE ENTIRE SURFACES ,,,,,,,,
 Fan: ,, Big Dip ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Big Dip ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, BIG DIP ,,,,, BIG DIP ,,,
 Surface: ,, Modern ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 70 ka ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, MODERN ,,,,, 70 ka ,,,
 Locality: ,, 325 ,,,, 295 ,,,, 323 ,,,, 301 ,,,, 298 ,,,, 319 ,,,, 300 ,,,, 299 ,,,, 297 ,,,, 296 ,,,, 294 ,,,, 324 ,,,, 293 ,,,, 318 ,,,, 320 ,,,, 321 ,,,, 322 ,,,, 303 ,,,, 302 ,,,,, 304 ,,,, 327 ,,,, 306 ,,,, 331 ,,,, 329 ,,,, 312 ,,,, 308 ,,,, 335 ,,,, 310 ,,,, 333 ,,,, 305 ,,,, 307 ,,,, 309 ,,,, 311 ,,,, 313 ,,,, 315 ,,,, 332 ,,,, 330 ,,,, 328 ,,,, 314 ,,,, 334 ,,,,, ALL ,,,,, ALL ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Count: ,, 100 ,,,, 200 ,,,, 100 ,,,, 101 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 199 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 200 ,,,, 200 ,,,,, 201 ,,,, 200 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 200 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 200 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 200 ,,,,," 2,300 ",,,,," 2,601 ",,,
 D50: ,, 15 ,,,, 18 ,,,, 14 ,,,, 25 ,,,, 25 ,,,, 17 ,,,, 28 ,,,, 25 ,,,, 22 ,,,, 20 ,,,, 20 ,,,, 14 ,,,, 16 ,,,, 18 ,,,, 19 ,,,, 18 ,,,, 18 ,,,, 30 ,,,, 27 ,,,,, 25 ,,,, 14 ,,,, 22 ,,,, 14 ,,,, 14 ,,,, 18 ,,,, 21 ,,,, 18 ,,,, 21 ,,,, 19 ,,,, 26 ,,,, 21 ,,,, 19 ,,,, 21 ,,,, 17 ,,,, 17 ,,,, 15 ,,,, 15 ,,,, 13 ,,,, 20 ,,,, 19 ,,,,, 21 ,,,,, 19 ,,,
 D84: ,, 31 ,,,, 35 ,,,, 34 ,,,, 51 ,,,, 44 ,,,, 33 ,,,, 48 ,,,, 40 ,,,, 38 ,,,, 39 ,,,, 33 ,,,, 30 ,,,, 32 ,,,, 37 ,,,, 30 ,,,, 37 ,,,, 36 ,,,, 52 ,,,, 46 ,,,,, 40 ,,,, 35 ,,,, 39 ,,,, 30 ,,,, 28 ,,,, 36 ,,,, 41 ,,,, 36 ,,,, 41 ,,,, 35 ,,,, 46 ,,,, 40 ,,,, 40 ,,,, 37 ,,,, 32 ,,,, 30 ,,,, 31 ,,,, 32 ,,,, 30 ,,,, 39 ,,,, 32 ,,,,, 40 ,,,,, 37 ,,,
 Mean: ,, 19 ,,,, 22 ,,,, 19 ,,,, 33 ,,,, 29 ,,,, 20 ,,,, 32 ,,,, 28 ,,,, 24 ,,,, 25 ,,,, 21 ,,,, 19 ,,,, 18 ,,,, 25 ,,,, 23 ,,,, 23 ,,,, 23 ,,,, 33 ,,,, 31 ,,,,, 27 ,,,, 19 ,,,, 24 ,,,, 19 ,,,, 17 ,,,, 23 ,,,, 26 ,,,, 24 ,,,, 26 ,,,, 22 ,,,, 29 ,,,, 24 ,,,, 24 ,,,, 24 ,,,, 20 ,,,, 20 ,,,, 19 ,,,, 18 ,,,, 17 ,,,, 24 ,,,, 21 ,,,,, 25 ,,,,, 23 ,,,
 St Dev: ,, 16 ,,,, 17 ,,,, 16 ,,,, 27 ,,,, 22 ,,,, 15 ,,,, 29 ,,,, 20 ,,,, 17 ,,,, 21 ,,,, 13 ,,,, 18 ,,,, 12 ,,,, 26 ,,,, 21 ,,,, 16 ,,,, 23 ,,,, 21 ,,,, 25 ,,,,, 19 ,,,, 18 ,,,, 14 ,,,, 14 ,,,, 14 ,,,, 21 ,,,, 20 ,,,, 22 ,,,, 23 ,,,, 15 ,,,, 22 ,,,, 18 ,,,, 20 ,,,, 21 ,,,, 15 ,,,, 15 ,,,, 16 ,,,, 14 ,,,, 14 ,,,, 19 ,,,, 18 ,,,,, 21 ,,,,, 19 ,,,
 Cv: ,, 0.83 ,,,, 0.78 ,,,, 0.86 ,,,, 0.84 ,,,, 0.79 ,,,, 0.73 ,,,, 0.91 ,,,, 0.71 ,,,, 0.70 ,,,, 0.84 ,,,, 0.64 ,,,, 0.92 ,,,, 0.69 ,,,, 1.03 ,,,, 0.93 ,,,, 0.69 ,,,, 1.00 ,,,, 0.63 ,,,, 0.80 ,,,,, 0.71 ,,,, 0.90 ,,,, 0.57 ,,,, 0.75 ,,,, 0.78 ,,,, 0.92 ,,,, 0.77 ,,,, 0.93 ,,,, 0.89 ,,,, 0.72 ,,,, 0.76 ,,,, 0.74 ,,,, 0.84 ,,,, 0.88 ,,,, 0.73 ,,,, 0.78 ,,,, 0.85 ,,,, 0.78 ,,,, 0.82 ,,,, 0.77 ,,,, 0.86 ,,,,, 0.83 ,,,,, 0.82 ,,,
