Distance,Width
0,100
100,167.6153719
200,234.7494977
300,301.4058025
400,367.5876872
500,433.2985285
600,498.5416789
700,563.3204672
800,627.6381985
900,691.4981543
1000,754.9035928
1100,817.8577489
1200,880.3638347
1300,942.4250391
1400,1004.044529
1500,1065.225447
1600,1125.970916
1700,1186.284035
1800,1246.167881
1900,1305.625509
2000,1364.659952
2100,1423.274224
2200,1481.471314
2300,1539.254191
2400,1596.625805
2500,1653.589081
2600,1710.146926
2700,1766.302226
2800,1822.057846
2900,1877.41663
3000,1932.381403
3100,1986.95497
3200,2041.140114
3300,2094.939601
3400,2148.356175
3500,2201.392561
3600,2254.051465
3700,2306.335575
3800,2358.247557
3900,2409.790061
4000,2460.965716
4100,2511.777132
4200,2562.226904
4300,2612.317603
4400,2662.051787
4500,2711.431992
4600,2760.460738
4700,2809.140526
4800,2857.473841
4900,2905.463148
5000,2953.110895
5100,3000.419514
5200,3047.391418
5300,3094.029004
5400,3140.334651
5500,3186.310722
5600,3231.959563
5700,3277.283502
5800,3322.284852
5900,3366.965909
6000,3411.328953
6100,3455.376248
6200,3499.110039
6300,3542.53256
6400,3585.646024
6500,3628.452633
6600,3670.954569
6700,3713.154002
6800,3755.053084
6900,3796.653954
7000,3837.958733
