,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, COMPILED DATA FOR THE ENTIRE SURFACES ,,,,,,,,,,,
 Fan: ,, Red Wall ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Red Wall ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, RED WALL ,,,,, RED WALL ,,,,,,
 Surface: ,, Young ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 70 ka ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, MODERN ,,,,, 70 ka ,,,,,,
 Locality: ,, 366 ,,,, 369 ,,,, 376 ,,,, 381 ,,,, 379 ,,,, 371 ,,,, 363 ,,,, 364 ,,,, 365 ,,,, 367 ,,,, 373 ,,,, 368 ,,,, 370 ,,,, 377 ,,,, 378 ,,,, 380 ,,,, 372 ,,,, 374 ,,,, 360 ,,,,, 357 ,,,, 356 ,,,, 336 ,,,, 337 ,,,, 347 ,,,, 346 ,,,, 352 ,,,, 351 ,,,, 342 ,,,, 341 ,,,, 354 ,,,, 349 ,,,, 344 ,,,, 339 ,,,, 338 ,,,, 340 ,,,, 355 ,,,, 350 ,,,, 348 ,,,, 345 ,,,, 343 ,,,,, ALL ,,,,, ALL ,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Count: ,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 200 ,,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,, 100 ,,,,," 2,000 ",,,,," 2,100 ",,,,,,
 D50: ,, 25 ,,,, 23 ,,,, 17 ,,,, 18 ,,,, 16 ,,,, 21 ,,,, 26 ,,,, 22 ,,,, 25 ,,,, 23 ,,,, 21 ,,,, 22 ,,,, 22 ,,,, 18 ,,,, 18 ,,,, 16 ,,,, 19 ,,,, 21 ,,,, 22 ,,,,, 26 ,,,, 25 ,,,, 18 ,,,, 16 ,,,, 19 ,,,, 25 ,,,, 23 ,,,, 23 ,,,, 21 ,,,, 20 ,,,, 22 ,,,, 21 ,,,, 20 ,,,, 17 ,,,, 16 ,,,, 20 ,,,, 25 ,,,, 21 ,,,, 21 ,,,, 18 ,,,, 20 ,,,,, 21 ,,,,, 20 ,,,,,,
 D84: ,, 46 ,,,, 40 ,,,, 39 ,,,, 33 ,,,, 31 ,,,, 41 ,,,, 49 ,,,, 41 ,,,, 45 ,,,, 42 ,,,, 36 ,,,, 39 ,,,, 40 ,,,, 41 ,,,, 36 ,,,, 36 ,,,, 41 ,,,, 37 ,,,, 51 ,,,,, 51 ,,,, 43 ,,,, 38 ,,,, 31 ,,,, 35 ,,,, 36 ,,,, 40 ,,,, 46 ,,,, 34 ,,,, 40 ,,,, 42 ,,,, 40 ,,,, 39 ,,,, 34 ,,,, 30 ,,,, 37 ,,,, 46 ,,,, 40 ,,,, 41 ,,,, 32 ,,,, 32 ,,,,, 41 ,,,,, 40 ,,,,,,
 Mean: ,, 29 ,,,, 27 ,,,, 23 ,,,, 22 ,,,, 20 ,,,, 25 ,,,, 32 ,,,, 27 ,,,, 29 ,,,, 26 ,,,, 25 ,,,, 25 ,,,, 26 ,,,, 23 ,,,, 22 ,,,, 22 ,,,, 25 ,,,, 26 ,,,, 29 ,,,,, 33 ,,,, 29 ,,,, 25 ,,,, 20 ,,,, 24 ,,,, 27 ,,,, 26 ,,,, 29 ,,,, 24 ,,,, 24 ,,,, 27 ,,,, 23 ,,,, 23 ,,,, 22 ,,,, 20 ,,,, 25 ,,,, 29 ,,,, 26 ,,,, 26 ,,,, 22 ,,,, 24 ,,,,, 26 ,,,,, 25 ,,,,,,
 St Dev: ,, 23 ,,,, 19 ,,,, 20 ,,,, 19 ,,,, 18 ,,,, 19 ,,,, 28 ,,,, 19 ,,,, 22 ,,,, 16 ,,,, 22 ,,,, 19 ,,,, 19 ,,,, 19 ,,,, 18 ,,,, 19 ,,,, 23 ,,,, 21 ,,,, 21 ,,,,, 30 ,,,, 23 ,,,, 23 ,,,, 16 ,,,, 20 ,,,, 20 ,,,, 18 ,,,, 23 ,,,, 21 ,,,, 19 ,,,, 22 ,,,, 16 ,,,, 18 ,,,, 18 ,,,, 15 ,,,, 17 ,,,, 20 ,,,, 23 ,,,, 23 ,,,, 14 ,,,, 19 ,,,,, 20 ,,,,, 20 ,,,,,,
 Cv: ,, 0.79 ,,,, 0.72 ,,,, 0.86 ,,,, 0.86 ,,,, 0.92 ,,,, 0.74 ,,,, 0.87 ,,,, 0.72 ,,,, 0.75 ,,,, 0.60 ,,,, 0.86 ,,,, 0.74 ,,,, 0.71 ,,,, 0.82 ,,,, 0.79 ,,,, 0.90 ,,,, 0.90 ,,,, 0.82 ,,,, 0.72 ,,,,, 0.92 ,,,, 0.78 ,,,, 0.95 ,,,, 0.82 ,,,, 0.82 ,,,, 0.75 ,,,, 0.70 ,,,, 0.81 ,,,, 0.86 ,,,, 0.79 ,,,, 0.79 ,,,, 0.69 ,,,, 0.76 ,,,, 0.79 ,,,, 0.75 ,,,, 0.70 ,,,, 0.71 ,,,, 0.91 ,,,, 0.91 ,,,, 0.65 ,,,, 0.80 ,,,,, 0.80 ,,,,, 0.81 ,,,,,,
