Distance,Elevation,Count,D50,D84,Mean,stdev,Cv
0,627,200,22,51,29.12,20.98014376,0.72047197
180.44,612,100,26,49.16,32.1,27.87471973,0.868371331
375.519,597,100,22,41.16,26.75,19.25657437,0.719871939
698.128,571,100,25,45,29.32,21.94569975,0.748489077
1009.208,546,100,25,46.16,29.25,22.98193186,0.785707072
1341.633,523,100,23,42.16,26.28,15.88219256,0.604345227
1692.501,498,100,21.5,39.16,25.43,18.73000887,0.736532004
2055.566,467,100,22.5,40.16,26.83,19.44173112,0.724626579
2451.742,431,100,22,40.16,26.39,18.66985633,0.707459505
2851.675,404,100,21,41,25.48,18.89657122,0.741623674
3144.406,385,100,19,41,25.05,22.58737244,0.901691515
3539.703,362,100,21,36,25.09,21.69350087,0.864627376
3982.465,343,100,21,37.16,25.9,21.29945226,0.822372674
4328.963,321,100,17,39.32,22.79,19.5795683,0.859129807
4703.893,300,100,18,41.16,23,18.87759615,0.82076505
4960.326,282,100,17.5,36,22.31,17.56528659,0.787327951
5338.485,260,100,15.5,31,19.89,18.28997352,0.919556235
5616.816,247,100,16,36,21.56,19.47612888,0.903345495
6024.605,232,100,18,33,22.13,18.9265753,0.855245156
