	BULK											Cross Section	STD (phi)	STD (mm)	Mean (mm)
Phi	mm	90	91	92.5	93.5	94	95	99	105.5	114		90	1.64	0.320856474	0.39
8.5	360	0	0	0	0	0	0	0	0	0		91	1.67	0.314253344	0.47
8	256	0	0	0	0	0	0	0	0	0		92.5	1.97	0.255253031	0.41
7.5	180	0	0	0	0	0	0	0	1.3	1.37		93.5	2.18	0.220675749	0.6
7	128	0	0	0	0	0	0	0	3.14	1.61		94	2.47	0.180491149	0.83
6.5	90	0	0	0.21	0	0	0.65	0.92	3.55	4.35		95	2.86	0.137738139	1.38
6	64	0	0	0.09	0.28	0.87	1.55	1.64	5.08	5.65		99	2.85	0.138696184	1.63
5.5	45	0.14	0	0.46	0.8	2.23	3.47	3.77	7.02	6.28		105.5	3	0.125	6.07
5	32	0.28	0.62	0.62	1.45	1.95	4.51	3.93	5.42	6.31		114	3.05	0.120742041	5.38
4.5	22	0.63	0.5	0.83	1.77	2.38	4.77	4.72	9.38	7.09					
4	16	0.83	0.79	0.93	1.73	2.47	3	3.65	6.14	6.13					
3.5	11	0.65	1.06	1.47	1.84	2.39	3.53	3.97	5.42	4.77					
3	8	0.92	0.77	1.12	1.67	2.34	3.34	3.84	4.69	5.29					
2.5	5.6	1.03	1.1	1.47	1.9	2.45	3.68	4.23	4.84	4.9					
2	4	1.02	1.03	1.26	1.88	2.1	2.52	3.53	3.09	3.17					
1.5	2.8	1.39	1.34	1.67	2.4	2.85	2.58	3.13	3.59	3.81					
1	2	1.53	1.67	1.53	1.69	1.99	2.01	2.61	2.46	2.73					
0.5	1.4	2.39	3	2.57	3.49	3.72	3.44	4.04	4.26	3.97					
0	1	3.28	3.81	2.94	4.11	4.39	3.86	4.23	4.07	3.66					
-0.5	0.7	4.97	5	4.05	5.38	5.71	4.95	5.07	4.37	4.05					
-1	0.5	8.56	8.15	6.74	9.06	9.13	8.35	7.72	5.61	5.47					
-1.5	0.35	12.15	10.2	9.53	12.13	11.33	9.47	8.65	4.72	5.3					
-2	0.25	19.85	15.7	15.84	17.28	15.25	13.49	11.38	5	5.93					
-2.5	0.18	16.17	12.12	14.41	11.92	10.17	8.58	7.2	2.83	3.43					
-3	0.125	14.26	11.18	16.18	10.67	8.76	6.99	5.96	2.09	2.52					
-3.5	0.088	6.14	5.55	8.03	4.62	3.85	3	2.85	1	1.18					
-4	0.0625	2.64	3.69	4.88	2.52	2.08	1.46	1.61	0.52	0.59					
<-4	0.0625	1.17	12.7	3.15	1.42	1.57	0.8	1.33	0.42	0.43					
